Class	Field	Type
AggregationFunction		C
	automatic	E
	average	E
	count	E
	countNumbers	E
	max	E
	min	E
	product	E
	standardDeviation	E
	standardDeviationP	E
	sum	E
	unknown	E
	variance	E
	varianceP	E
Application		C
	calculate(calculationType)	M
	getCalculationEngineVersion()	M
	getCalculationMode()	M
	getCalculationState()	M
	getCultureInfo()	M
	getDecimalSeparator()	M
	getIterativeCalculation()	M
	getThousandsSeparator()	M
	getUseSystemSeparators()	M
	setCalculationMode(calculationMode)	M
ArrowheadLength		C
	long	E
	medium	E
	short	E
ArrowheadStyle		C
	diamond	E
	none	E
	open	E
	oval	E
	stealth	E
	triangle	E
ArrowheadWidth		C
	medium	E
	narrow	E
	wide	E
AutoFillType		C
	fillCopy	E
	fillDays	E
	fillDefault	E
	fillFormats	E
	fillMonths	E
	fillSeries	E
	fillValues	E
	fillWeekdays	E
	fillYears	E
	flashFill	E
	growthTrend	E
	linearTrend	E
AutoFilter		C
	apply(range	M
	clearCriteria()	M
	getCriteria()	M
	getEnabled()	M
	getIsDataFiltered()	M
	getRange()	M
	reapply()	M
	remove()	M
BasicDataValidation		C
	formula1	P
	formula2	P
	operator	P
Binding		C
	delete()	M
	getId()	M
	getRange()	M
	getTable()	M
	getText()	M
	getType()	M
BindingType		C
	range	E
	table	E
	text	E
BorderIndex		C
	diagonalDown	E
	diagonalUp	E
	edgeBottom	E
	edgeLeft	E
	edgeRight	E
	edgeTop	E
	insideHorizontal	E
	insideVertical	E
BorderLineStyle		C
	continuous	E
	dash	E
	dashDot	E
	dashDotDot	E
	dot	E
	double	E
	none	E
	slantDashDot	E
BorderWeight		C
	hairline	E
	medium	E
	thick	E
	thin	E
BuiltInStyle		C
	accent1	E
	accent1_20	E
	accent1_40	E
	accent1_60	E
	accent2	E
	accent2_20	E
	accent2_40	E
	accent2_60	E
	accent3	E
	accent3_20	E
	accent3_40	E
	accent3_60	E
	accent4	E
	accent4_20	E
	accent4_40	E
	accent4_60	E
	accent5	E
	accent5_20	E
	accent5_40	E
	accent5_60	E
	accent6	E
	accent6_20	E
	accent6_40	E
	accent6_60	E
	bad	E
	calculation	E
	checkCell	E
	comma	E
	currency	E
	emphasis1	E
	emphasis2	E
	emphasis3	E
	explanatoryText	E
	good	E
	heading1	E
	heading2	E
	heading3	E
	heading4	E
	hlink	E
	hlinkTrav	E
	input	E
	linkedCell	E
	neutral	E
	normal	E
	note	E
	output	E
	percent	E
	sheetTitle	E
	total	E
	warningText	E
	wholeComma	E
	wholeDollar	E
CalculationMode		C
	automatic	E
	automaticExceptTables	E
	manual	E
CalculationState		C
	calculating	E
	done	E
	pending	E
CalculationType		C
	full	E
	fullRebuild	E
	recalculate	E
CellValueConditionalFormat		C
	getFormat()	M
	getRule()	M
	setRule(rule)	M
Chart		C
	activate()	M
	addChartSeries(name	M
	delete()	M
	getAxes()	M
	getCategoryLabelLevel()	M
	getChartType()	M
	getDataLabels()	M
	getDisplayBlanksAs()	M
	getFormat()	M
	getHeight()	M
	getId()	M
	getImage(width	M
	getLeft()	M
	getLegend()	M
	getName()	M
	getPivotOptions()	M
	getPlotArea()	M
	getPlotBy()	M
	getPlotVisibleOnly()	M
	getSeries()	M
	getSeriesNameLevel()	M
	getShowAllFieldButtons()	M
	getShowDataLabelsOverMaximum()	M
	getStyle()	M
	getTitle()	M
	getTop()	M
	getWidth()	M
	getWorksheet()	M
	setCategoryLabelLevel(categoryLabelLevel)	M
	setChartType(chartType)	M
	setData(sourceData	M
	setDisplayBlanksAs(displayBlanksAs)	M
	setHeight(height)	M
	setLeft(left)	M
	setName(name)	M
	setPlotBy(plotBy)	M
	setPlotVisibleOnly(plotVisibleOnly)	M
	setPosition(startCell	M
	setSeriesNameLevel(seriesNameLevel)	M
	setShowAllFieldButtons(showAllFieldButtons)	M
	setShowDataLabelsOverMaximum(showDataLabelsOverMaximum)	M
	setStyle(style)	M
	setTop(top)	M
	setWidth(width)	M
ChartAreaFormat		C
