Class	Field	Type
	getBorder()	M
	getColorScheme()	M
	getFill()	M
	getFont()	M
	getRoundedCorners()	M
	setColorScheme(colorScheme)	M
	setRoundedCorners(roundedCorners)	M
ChartAxes		C
	getCategoryAxis()	M
	getChartAxis(type	M
	getSeriesAxis()	M
	getValueAxis()	M
ChartAxis		C
	getAlignment()	M
	getAxisGroup()	M
	getBaseTimeUnit()	M
	getCategoryType()	M
	getCustomDisplayUnit()	M
	getDisplayUnit()	M
	getFormat()	M
	getHeight()	M
	getIsBetweenCategories()	M
	getLeft()	M
	getLinkNumberFormat()	M
	getLogBase()	M
	getMajorGridlines()	M
	getMajorTickMark()	M
	getMajorTimeUnitScale()	M
	getMajorUnit()	M
	getMaximum()	M
	getMinimum()	M
	getMinorGridlines()	M
	getMinorTickMark()	M
	getMinorTimeUnitScale()	M
	getMinorUnit()	M
	getMultiLevel()	M
	getNumberFormat()	M
	getOffset()	M
	getPosition()	M
	getPositionAt()	M
	getReversePlotOrder()	M
	getScaleType()	M
	getShowDisplayUnitLabel()	M
	getTextOrientation()	M
	getTickLabelPosition()	M
	getTickLabelSpacing()	M
	getTickMarkSpacing()	M
	getTitle()	M
	getTop()	M
	getType()	M
	getVisible()	M
	getWidth()	M
	setAlignment(alignment)	M
	setBaseTimeUnit(baseTimeUnit)	M
	setCategoryNames(sourceData)	M
	setCategoryType(categoryType)	M
	setCustomDisplayUnit(value)	M
	setDisplayUnit(displayUnit)	M
	setIsBetweenCategories(isBetweenCategories)	M
	setLinkNumberFormat(linkNumberFormat)	M
	setLogBase(logBase)	M
	setMajorTickMark(majorTickMark)	M
	setMajorTimeUnitScale(majorTimeUnitScale)	M
	setMajorUnit(majorUnit)	M
	setMaximum(maximum)	M
	setMinimum(minimum)	M
	setMinorTickMark(minorTickMark)	M
	setMinorTimeUnitScale(minorTimeUnitScale)	M
	setMinorUnit(minorUnit)	M
	setMultiLevel(multiLevel)	M
	setNumberFormat(numberFormat)	M
	setOffset(offset)	M
	setPosition(position)	M
	setPositionAt(value)	M
	setReversePlotOrder(reversePlotOrder)	M
	setScaleType(scaleType)	M
	setShowDisplayUnitLabel(showDisplayUnitLabel)	M
	setTextOrientation(textOrientation)	M
	setTickLabelPosition(tickLabelPosition)	M
	setTickLabelSpacing(tickLabelSpacing)	M
	setTickMarkSpacing(tickMarkSpacing)	M
	setVisible(visible)	M
ChartAxisCategoryType		C
	automatic	E
	dateAxis	E
	textAxis	E
ChartAxisDisplayUnit		C
	billions	E
	custom	E
	hundredMillions	E
	hundreds	E
	hundredThousands	E
	millions	E
	none	E
	tenMillions	E
	tenThousands	E
	thousands	E
	trillions	E
ChartAxisFormat		C
	getFill()	M
	getFont()	M
	getLine()	M
ChartAxisGroup		C
	primary	E
	secondary	E
ChartAxisPosition		C
	automatic	E
	custom	E
	maximum	E
	minimum	E
ChartAxisScaleType		C
	linear	E
	logarithmic	E
ChartAxisTickLabelPosition		C
	high	E
	low	E
	nextToAxis	E
	none	E
ChartAxisTickMark		C
	cross	E
	inside	E
	none	E
	outside	E
ChartAxisTimeUnit		C
	days	E
	months	E
	years	E
ChartAxisTitle		C
	getFormat()	M
	getText()	M
	getTextOrientation()	M
	getVisible()	M
	setFormula(formula)	M
	setText(text)	M
	setTextOrientation(textOrientation)	M
	setVisible(visible)	M
ChartAxisTitleFormat		C
	getBorder()	M
	getFill()	M
	getFont()	M
ChartAxisType		C
	category	E
	invalid	E
	series	E
	value	E
ChartBinOptions		C
	getAllowOverflow()	M
	getAllowUnderflow()	M
	getCount()	M
	getOverflowValue()	M
	getType()	M
	getUnderflowValue()	M
	getWidth()	M
	setAllowOverflow(allowOverflow)	M
	setAllowUnderflow(allowUnderflow)	M
	setCount(count)	M
	setOverflowValue(overflowValue)	M
	setType(type)	M
	setUnderflowValue(underflowValue)	M
	setWidth(width)	M
ChartBinType		C
	auto	E
	binCount	E
	binWidth	E
	category	E
ChartBorder		C
	clear()	M
	getColor()	M
	getLineStyle()	M
	getWeight()	M
	setColor(color)	M
	setLineStyle(lineStyle)	M
	setWeight(weight)	M
ChartBoxQuartileCalculation		C
	exclusive	E
	inclusive	E
ChartBoxwhiskerOptions		C
	getQuartileCalculation()	M
	getShowInnerPoints()	M
	getShowMeanLine()	M
	getShowMeanMarker()	M
	getShowOutlierPoints()	M
	setQuartileCalculation(quartileCalculation)	M
	setShowInnerPoints(showInnerPoints)	M
	setShowMeanLine(showMeanLine)	M
	setShowMeanMarker(showMeanMarker)	M
	setShowOutlierPoints(showOutlierPoints)	M
ChartColorScheme		C
	colorfulPalette1	E
	colorfulPalette2	E
	colorfulPalette3	E
	colorfulPalette4	E
	monochromaticPalette1	E
	monochromaticPalette10	E
	monochromaticPalette11	E
	monochromaticPalette12	E
	monochromaticPalette13	E
	monochromaticPalette2	E
	monochromaticPalette3	E
	monochromaticPalette4	E
	monochromaticPalette5	E
	monochromaticPalette6	E
	monochromaticPalette7	E
	monochromaticPalette8	E
	monochromaticPalette9	E
ChartDataLabel		C
	getAutoText()	M
	getFormat()	M
	getFormula()	M
	getHeight()	M
	getHorizontalAlignment()	M
	getLeft()	M
	getLinkNumberFormat()	M
	getNumberFormat()	M
	getPosition()	M
	getSeparator()	M
	getShowBubbleSize()	M
	getShowCategoryName()	M
	getShowLegendKey()	M
	getShowPercentage()	M
	getShowSeriesName()	M
	getShowValue()	M
	getText()	M
	getTextOrientation()	M
	getTop()	M
	getVerticalAlignment()	M
	getWidth()	M
	setAutoText(autoText)	M
	setFormula(formula)	M
	setHorizontalAlignment(horizontalAlignment)	M
	setLeft(left)	M
	setLinkNumberFormat(linkNumberFormat)	M
	setNumberFormat(numberFormat)	M
	setPosition(position)	M
	setSeparator(separator)	M
	setShowBubbleSize(showBubbleSize)	M
	setShowCategoryName(showCategoryName)	M
	setShowLegendKey(showLegendKey)	M
	setShowPercentage(showPercentage)	M
	setShowSeriesName(showSeriesName)	M
	setShowValue(showValue)	M
	setText(text)	M
	setTextOrientation(textOrientation)	M
	setTop(top)	M
	setVerticalAlignment(verticalAlignment)	M
ChartDataLabelFormat		C
	getBorder()	M
	getFill()	M
	getFont()	M
ChartDataLabelPosition		C
	bestFit	E
	bottom	E
	callout	E
	center	E
	insideBase	E
	insideEnd	E
	invalid	E
	left	E
	none	E
	outsideEnd	E
	right	E
	top	E
ChartDataLabels		C
	getAutoText()	M
	getFormat()	M
	getHorizontalAlignment()	M
	getLinkNumberFormat()	M
	getNumberFormat()	M
	getPosition()	M
	getSeparator()	M
	getShowBubbleSize()	M
	getShowCategoryName()	M
	getShowLegendKey()	M
	getShowPercentage()	M
	getShowSeriesName()	M
	getShowValue()	M
	getTextOrientation()	M
	getVerticalAlignment()	M
	setAutoText(autoText)	M
	setHorizontalAlignment(horizontalAlignment)	M
	setLinkNumberFormat(linkNumberFormat)	M
	setNumberFormat(numberFormat)	M
	setPosition(position)	M
	setSeparator(separator)	M
	setShowBubbleSize(showBubbleSize)	M
	setShowCategoryName(showCategoryName)	M
	setShowLegendKey(showLegendKey)	M
	setShowPercentage(showPercentage)	M
	setShowSeriesName(showSeriesName)	M
	setShowValue(showValue)	M
	setTextOrientation(textOrientation)	M
	setVerticalAlignment(verticalAlignment)	M
ChartDisplayBlanksAs		C
	interplotted	E
	notPlotted	E
	zero	E
ChartErrorBars		C
	getEndStyleCap()	M
	getFormat()	M
	getInclude()	M
	getType()	M
	getVisible()	M
	setEndStyleCap(endStyleCap)	M
	setInclude(include)	M
	setType(type)	M
	setVisible(visible)	M
ChartErrorBarsFormat		C
	getLine()	M
ChartErrorBarsInclude		C
	both	E
	minusValues	E
	plusValues	E
ChartErrorBarsType		C
	custom	E
	fixedValue	E
	percent	E
	stDev	E
	stError	E
ChartFill		C
	clear()	M
	setSolidColor(color)	M
ChartFont		C
	getBold()	M
	getColor()	M
	getItalic()	M
	getName()	M
	getSize()	M
	getUnderline()	M
	setBold(bold)	M
	setColor(color)	M
	setItalic(italic)	M
	setName(name)	M
	setSize(size)	M
	setUnderline(underline)	M
ChartFormatString		C
	getFont()	M
ChartGradientStyle		C
	threePhaseColor	E
	twoPhaseColor	E
ChartGradientStyleType		C
	extremeValue	E
	number	E
	percent	E
ChartGridlines		C
	getFormat()	M
	getVisible()	M
	setVisible(visible)	M
ChartGridlinesFormat		C
	getLine()	M
ChartLegend		C
	getFormat()	M
	getHeight()	M
	getLeft()	M
	getLegendEntries()	M
	getOverlay()	M
	getPosition()	M
	getShowShadow()	M
	getTop()	M
	getVisible()	M
	getWidth()	M
	setHeight(height)	M
	setLeft(left)	M
	setOverlay(overlay)	M
	setPosition(position)	M
	setShowShadow(showShadow)	M
	setTop(top)	M
	setVisible(visible)	M
	setWidth(width)	M
ChartLegendEntry		C
	getHeight()	M
	getIndex()	M
	getLeft()	M
	getTop()	M
	getVisible()	M
	getWidth()	M
	setVisible(visible)	M
ChartLegendFormat		C
	getBorder()	M
	getFill()	M
	getFont()	M
ChartLegendPosition		C
	bottom	E
	corner	E
	custom	E
	invalid	E
	left	E
	right	E
	top	E
ChartLineFormat		C
	clear()	M
	getColor()	M
	getLineStyle()	M
	getWeight()	M
	setColor(color)	M
	setLineStyle(lineStyle)	M
	setWeight(weight)	M
ChartLineStyle		C
	automatic	E
	continuous	E
	dash	E
	dashDot	E
	dashDotDot	E
	dot	E
	grey25	E
	grey50	E
	grey75	E
	none	E
	roundDot	E
ChartMapAreaLevel		C
	automatic	E
	city	E
	continent	E
	country	E
	county	E
	dataOnly	E
	state	E
	world	E
ChartMapLabelStrategy		C
	bestFit	E
	none	E
	showAll	E
ChartMapOptions		C
	getLabelStrategy()	M
	getLevel()	M
	getProjectionType()	M
	setLabelStrategy(labelStrategy)	M
	setLevel(level)	M
	setProjectionType(projectionType)	M
ChartMapProjectionType		C
	albers	E
	automatic	E
	mercator	E
	miller	E
	robinson	E
ChartMarkerStyle		C
	automatic	E
	circle	E
	dash	E
	diamond	E
	dot	E
	invalid	E
	none	E
	picture	E
	plus	E
	square	E
	star	E
	triangle	E
	x	E
ChartParentLabelStrategy		C
	banner	E
	none	E
	overlapping	E
ChartPivotOptions		C
	getShowAxisFieldButtons()	M
	getShowLegendFieldButtons()	M
	getShowReportFilterFieldButtons()	M
	getShowValueFieldButtons()	M
	setShowAxisFieldButtons(showAxisFieldButtons)	M
	setShowLegendFieldButtons(showLegendFieldButtons)	M
	setShowReportFilterFieldButtons(showReportFilterFieldButtons)	M
	setShowValueFieldButtons(showValueFieldButtons)	M
ChartPlotArea		C
	getFormat()	M
	getHeight()	M
	getInsideHeight()	M
	getInsideLeft()	M
	getInsideTop()	M
	getInsideWidth()	M
	getLeft()	M
	getPosition()	M
	getTop()	M
	getWidth()	M
	setHeight(height)	M
	setInsideHeight(insideHeight)	M
	setInsideLeft(insideLeft)	M
	setInsideTop(insideTop)	M
	setInsideWidth(insideWidth)	M
	setLeft(left)	M
	setPosition(position)	M
	setTop(top)	M
	setWidth(width)	M
ChartPlotAreaFormat		C
	getBorder()	M
	getFill()	M
ChartPlotAreaPosition		C
	automatic	E
	custom	E
ChartPlotBy		C
	columns	E
	rows	E
ChartPoint		C
	getDataLabel()	M
	getFormat()	M
	getHasDataLabel()	M
	getMarkerBackgroundColor()	M
	getMarkerForegroundColor()	M
	getMarkerSize()	M
	getMarkerStyle()	M
	getValue()	M
	setHasDataLabel(hasDataLabel)	M
	setMarkerBackgroundColor(markerBackgroundColor)	M
	setMarkerForegroundColor(markerForegroundColor)	M
	setMarkerSize(markerSize)	M
	setMarkerStyle(markerStyle)	M
ChartPointFormat		C
	getBorder()	M
	getFill()	M
ChartSeries		C
	addChartTrendline(type)	M
	delete()	M
	getAxisGroup()	M
	getBinOptions()	M
	getBoxwhiskerOptions()	M
	getBubbleScale()	M
	getChartTrendline(index)	M
	getChartType()	M
	getDataLabels()	M
	getDimensionValues(dimension)	M
	getDoughnutHoleSize()	M
	getExplosion()	M
	getFiltered()	M
	getFirstSliceAngle()	M
	getFormat()	M
	getGapWidth()	M
	getGradientMaximumColor()	M
	getGradientMaximumType()	M
	getGradientMaximumValue()	M
	getGradientMidpointColor()	M
	getGradientMidpointType()	M
	getGradientMidpointValue()	M
	getGradientMinimumColor()	M
	getGradientMinimumType()	M
	getGradientMinimumValue()	M
	getGradientStyle()	M
	getHasDataLabels()	M
	getInvertColor()	M
	getInvertIfNegative()	M
	getMapOptions()	M
	getMarkerBackgroundColor()	M
	getMarkerForegroundColor()	M
	getMarkerSize()	M
	getMarkerStyle()	M
	getName()	M
	getOverlap()	M
	getParentLabelStrategy()	M
	getPlotOrder()	M
	getPoints()	M
	getSecondPlotSize()	M
	getShowConnectorLines()	M
	getShowLeaderLines()	M
	getShowShadow()	M
	getSmooth()	M
	getSplitType()	M
	getSplitValue()	M
	getTrendlines()	M
	getVaryByCategories()	M
	getXErrorBars()	M
	getYErrorBars()	M
	setAxisGroup(axisGroup)	M
	setBubbleScale(bubbleScale)	M
	setBubbleSizes(sourceData)	M
	setChartType(chartType)	M
	setDoughnutHoleSize(doughnutHoleSize)	M
	setExplosion(explosion)	M
	setFiltered(filtered)	M
	setFirstSliceAngle(firstSliceAngle)	M
	setGapWidth(gapWidth)	M
	setGradientMaximumColor(gradientMaximumColor)	M
	setGradientMaximumType(gradientMaximumType)	M
	setGradientMaximumValue(gradientMaximumValue)	M
	setGradientMidpointColor(gradientMidpointColor)	M
	setGradientMidpointType(gradientMidpointType)	M
	setGradientMidpointValue(gradientMidpointValue)	M
	setGradientMinimumColor(gradientMinimumColor)	M
	setGradientMinimumType(gradientMinimumType)	M
	setGradientMinimumValue(gradientMinimumValue)	M
	setGradientStyle(gradientStyle)	M
	setHasDataLabels(hasDataLabels)	M
	setInvertColor(invertColor)	M
	setInvertIfNegative(invertIfNegative)	M
	setMarkerBackgroundColor(markerBackgroundColor)	M
	setMarkerForegroundColor(markerForegroundColor)	M
	setMarkerSize(markerSize)	M
	setMarkerStyle(markerStyle)	M
	setName(name)	M
	setOverlap(overlap)	M
	setParentLabelStrategy(parentLabelStrategy)	M
	setPlotOrder(plotOrder)	M
	setSecondPlotSize(secondPlotSize)	M
	setShowConnectorLines(showConnectorLines)	M
	setShowLeaderLines(showLeaderLines)	M
	setShowShadow(showShadow)	M
	setSmooth(smooth)	M
	setSplitType(splitType)	M
	setSplitValue(splitValue)	M
	setValues(sourceData)	M
	setVaryByCategories(varyByCategories)	M
	setXAxisValues(sourceData)	M
ChartSeriesBy		C
	auto	E
	columns	E
	rows	E
ChartSeriesDimension		C
	bubbleSizes	E
	categories	E
	values	E
	xvalues	E
	yvalues	E
ChartSeriesFormat		C
	getFill()	M
	getLine()	M
ChartSplitType		C
	splitByCustomSplit	E
	splitByPercentValue	E
	splitByPosition	E
	splitByValue	E
ChartTextHorizontalAlignment		C
	center	E
	distributed	E
	justify	E
	left	E
	right	E
ChartTextVerticalAlignment		C
	bottom	E
	center	E
	distributed	E
	justify	E
	top	E
ChartTickLabelAlignment		C
	center	E
	left	E
	right	E
ChartTitle		C
	getFormat()	M
	getHeight()	M
	getHorizontalAlignment()	M
	getLeft()	M
	getOverlay()	M
	getPosition()	M
	getShowShadow()	M
	getSubstring(start	M
	getText()	M
	getTextOrientation()	M
	getTop()	M
	getVerticalAlignment()	M
	getVisible()	M
	getWidth()	M
	setFormula(formula)	M
	setHorizontalAlignment(horizontalAlignment)	M
	setLeft(left)	M
	setOverlay(overlay)	M
	setPosition(position)	M
	setShowShadow(showShadow)	M
	setText(text)	M
	setTextOrientation(textOrientation)	M
	setTop(top)	M
	setVerticalAlignment(verticalAlignment)	M
	setVisible(visible)	M
ChartTitleFormat		C
	getBorder()	M
	getFill()	M
	getFont()	M
ChartTitlePosition		C
	automatic	E
	bottom	E
	left	E
	right	E
	top	E
ChartTrendline		C
	delete()	M
	getBackwardPeriod()	M
	getFormat()	M
	getForwardPeriod()	M
	getIntercept()	M
	getLabel()	M
	getMovingAveragePeriod()	M
	getName()	M
	getPolynomialOrder()	M
	getShowEquation()	M
	getShowRSquared()	M
	getType()	M
	setBackwardPeriod(backwardPeriod)	M
	setForwardPeriod(forwardPeriod)	M
	setIntercept(intercept)	M
	setMovingAveragePeriod(movingAveragePeriod)	M
	setName(name)	M
	setPolynomialOrder(polynomialOrder)	M
	setShowEquation(showEquation)	M
	setShowRSquared(showRSquared)	M
	setType(type)	M
ChartTrendlineFormat		C
	getLine()	M
ChartTrendlineLabel		C
	getAutoText()	M
	getFormat()	M
	getFormula()	M
	getHeight()	M
	getHorizontalAlignment()	M
	getLeft()	M
	getLinkNumberFormat()	M
	getNumberFormat()	M
	getText()	M
	getTextOrientation()	M
	getTop()	M
	getVerticalAlignment()	M
	getWidth()	M
	setAutoText(autoText)	M
	setFormula(formula)	M
	setHorizontalAlignment(horizontalAlignment)	M
	setLeft(left)	M
	setLinkNumberFormat(linkNumberFormat)	M
	setNumberFormat(numberFormat)	M
	setText(text)	M
	setTextOrientation(textOrientation)	M
	setTop(top)	M
	setVerticalAlignment(verticalAlignment)	M
ChartTrendlineLabelFormat		C
	getBorder()	M
	getFill()	M
	getFont()	M
ChartTrendlineType		C
	exponential	E
	linear	E
	logarithmic	E
	movingAverage	E
	polynomial	E
	power	E
ChartType		C
	area	E
	areaStacked	E
	areaStacked100	E
	barClustered	E
	barOfPie	E
	barStacked	E
	barStacked100	E
	boxwhisker	E
	bubble	E
	bubble3DEffect	E
	columnClustered	E
	columnStacked	E
	columnStacked100	E
	coneBarClustered	E
	coneBarStacked	E
	coneBarStacked100	E
	coneCol	E
	coneColClustered	E
	coneColStacked	E
	coneColStacked100	E
	cylinderBarClustered	E
	cylinderBarStacked	E
	cylinderBarStacked100	E
	cylinderCol	E
	cylinderColClustered	E
	cylinderColStacked	E
	cylinderColStacked100	E
	doughnut	E
	doughnutExploded	E
	funnel	E
	histogram	E
	invalid	E
	line	E
	lineMarkers	E
	lineMarkersStacked	E
	lineMarkersStacked100	E
	lineStacked	E
	lineStacked100	E
	pareto	E
	pie	E
	pieExploded	E
	pieOfPie	E
	pyramidBarClustered	E
	pyramidBarStacked	E
	pyramidBarStacked100	E
	pyramidCol	E
	pyramidColClustered	E
	pyramidColStacked	E
	pyramidColStacked100	E
	radar	E
	radarFilled	E
	radarMarkers	E
	regionMap	E
	stockHLC	E
	stockOHLC	E
	stockVHLC	E
	stockVOHLC	E
	sunburst	E
	surface	E
	surfaceTopView	E
	surfaceTopViewWireframe	E
	surfaceWireframe	E
	treemap	E
	waterfall	E
	xyscatter	E
	xyscatterLines	E
	xyscatterLinesNoMarkers	E
	xyscatterSmooth	E
	xyscatterSmoothNoMarkers	E
ChartUnderlineStyle		C
	none	E
	single	E
ClearApplyTo		C
	all	E
	contents	E
	formats	E
	hyperlinks	E
	removeHyperlinks	E
ColorScaleConditionalFormat		C
	getCriteria()	M
	getThreeColorScale()	M
	setCriteria(criteria)	M
Comment		C
	addCommentReply(content	M
	delete()	M
	getAuthorEmail()	M
	getAuthorName()	M
	getCommentReply(commentReplyId)	M
	getContent()	M
	getContentType()	M
	getCreationDate()	M
	getId()	M
	getLocation()	M
	getMentions()	M
	getReplies()	M
	getResolved()	M
	getRichContent()	M
	setContent(content)	M
	setResolved(resolved)	M
	updateMentions(contentWithMentions)	M
CommentMention		C
	email	P
	id	P
	name	P
CommentReply		C
	delete()	M
	getAuthorEmail()	M
	getAuthorName()	M
	getContent()	M
	getContentType()	M
	getCreationDate()	M
	getId()	M
	getLocation()	M
	getMentions()	M
	getParentComment()	M
	getResolved()	M
	getRichContent()	M
	setContent(content)	M
	updateMentions(contentWithMentions)	M
CommentRichContent		C
	mentions	P
	richContent	P
ConditionalCellValueOperator		C
	between	E
	equalTo	E
	greaterThan	E
	greaterThanOrEqual	E
	invalid	E
	lessThan	E
	lessThanOrEqual	E
	notBetween	E
	notEqualTo	E
ConditionalCellValueRule		C
	formula1	P
	formula2	P
	operator	P
ConditionalColorScaleCriteria		C
	maximum	P
	midpoint	P
	minimum	P
ConditionalColorScaleCriterion		C
	color	P
	formula	P
	type	P
ConditionalDataBarAxisFormat		C
	automatic	E
	cellMidPoint	E
	none	E
ConditionalDataBarDirection		C
	context	E
	leftToRight	E
	rightToLeft	E
ConditionalDataBarNegativeFormat		C
	getBorderColor()	M
	getFillColor()	M
	getMatchPositiveBorderColor()	M
	getMatchPositiveFillColor()	M
	setBorderColor(borderColor)	M
	setFillColor(fillColor)	M
	setMatchPositiveBorderColor(matchPositiveBorderColor)	M
	setMatchPositiveFillColor(matchPositiveFillColor)	M
ConditionalDataBarPositiveFormat		C
	getBorderColor()	M
	getFillColor()	M
	getGradientFill()	M
	setBorderColor(borderColor)	M
	setFillColor(fillColor)	M
	setGradientFill(gradientFill)	M
ConditionalDataBarRule		C
	formula	P
	type	P
ConditionalFormat		C
	delete()	M
	getCellValue()	M
	getColorScale()	M
	getCustom()	M
	getDataBar()	M
	getIconSet()	M
	getId()	M
	getPreset()	M
	getPriority()	M
	getRange()	M
	getRanges()	M
	getStopIfTrue()	M
	getTextComparison()	M
	getTopBottom()	M
	getType()	M
	setPriority(priority)	M
	setStopIfTrue(stopIfTrue)	M
ConditionalFormatColorCriterionType		C
	formula	E
	highestValue	E
	invalid	E
	lowestValue	E
	number	E
	percent	E
	percentile	E
ConditionalFormatDirection		C
	bottom	E
	top	E
ConditionalFormatIconRuleType		C
	formula	E
	invalid	E
	number	E
	percent	E
	percentile	E
ConditionalFormatPresetCriterion		C
	aboveAverage	E
	belowAverage	E
	blanks	E
	duplicateValues	E
	equalOrAboveAverage	E
	equalOrBelowAverage	E
	errors	E
	invalid	E
	lastMonth	E
	lastSevenDays	E
	lastWeek	E
	nextMonth	E
	nextWeek	E
	nonBlanks	E
	nonErrors	E
	oneStdDevAboveAverage	E
	oneStdDevBelowAverage	E
	thisMonth	E
	thisWeek	E
	threeStdDevAboveAverage	E
	threeStdDevBelowAverage	E
	today	E
	tomorrow	E
	twoStdDevAboveAverage	E
	twoStdDevBelowAverage	E
	uniqueValues	E
	yesterday	E
ConditionalFormatRule		C
	getFormula()	M
	getFormulaLocal()	M
	setFormula(formula)	M
	setFormulaLocal(formulaLocal)	M
ConditionalFormatRuleType		C
	automatic	E
	formula	E
	highestValue	E
	invalid	E
	lowestValue	E
	number	E
	percent	E
	percentile	E
ConditionalFormatType		C
	cellValue	E
	colorScale	E
	containsText	E
	custom	E
	dataBar	E
	iconSet	E
	presetCriteria	E
	topBottom	E
ConditionalIconCriterion		C
	customIcon	P
	formula	P
	operator	P
	type	P
ConditionalIconCriterionOperator		C
	greaterThan	E
	greaterThanOrEqual	E
	invalid	E
ConditionalPresetCriteriaRule		C
	criterion	P
ConditionalRangeBorder		C
	getColor()	M
	getSideIndex()	M
	getStyle()	M
	setColor(color)	M
	setStyle(style)	M
ConditionalRangeBorderIndex		C
	edgeBottom	E
	edgeLeft	E
	edgeRight	E
	edgeTop	E
ConditionalRangeBorderLineStyle		C
	continuous	E
	dash	E
	dashDot	E
	dashDotDot	E
	dot	E
	none	E
ConditionalRangeFill		C
	clear()	M
	getColor()	M
	setColor(color)	M
ConditionalRangeFont		C
	clear()	M
	getBold()	M
	getColor()	M
	getItalic()	M
	getStrikethrough()	M
	getUnderline()	M
	setBold(bold)	M
	setColor(color)	M
	setItalic(italic)	M
	setStrikethrough(strikethrough)	M
	setUnderline(underline)	M
ConditionalRangeFontUnderlineStyle		C
	double	E
	none	E
	single	E
ConditionalRangeFormat		C
	getBorders()	M
	getConditionalRangeBorder(index)	M
	getConditionalRangeBorderBottom()	M
	getConditionalRangeBorderLeft()	M
	getConditionalRangeBorderRight()	M
	getConditionalRangeBorderTop()	M
	getFill()	M
	getFont()	M
	getNumberFormat()	M
	setNumberFormat(numberFormat)	M
ConditionalTextComparisonRule		C
